Index,Distance
0,"(True, 16118.578428265959)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2607.452538877212)"
0,"(False, None)"
0,"(True, 2579.110897371188)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2561.48137545023)"
0,"(True, 2566.5303535051216)"
0,"(False, None)"
0,"(True, 2572.387251455143)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 14565869.29117338)"
0,"(True, 1503.7566666666671)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2560.4053289466215)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 786.7515666666666)"
0,"(False, None)"
0,"(True, 2567.8224320696413)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2572.425006641544)"
0,"(False, None)"
0,"(True, 370.6025999999998)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2565.495781616447)"
0,"(True, 2783.9625864758605)"
0,"(True, 2573.9275695799242)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 1496.8266666666668)"
0,"(True, 2846.522696729737)"
0,"(True, 2502.570199408771)"
0,"(True, 2568.9960819764246)"
0,"(False, None)"
0,"(True, 28023.295701157782)"
0,"(True, 2566.36739644787)"
0,"(False, None)"
0,"(True, 186.84955005298372)"
0,"(True, 2567.7890270192033)"
0,"(False, None)"
0,"(True, 887.7291666666666)"
0,"(True, 2550.1543644244375)"
0,"(False, None)"
0,"(True, 2495.0600811442137)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2572.2998060153864)"
0,"(False, None)"
0,"(True, 2568.8815798422816)"
0,"(True, 2562.7025218487647)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 38239.823399999994)"
0,"(False, None)"
0,"(True, 2569.1911970390665)"
0,"(False, None)"
